COD_INE;COD_GEO;COD_PROV;PROVINCIA;NOMBRE_ACTUAL;SUPERFICIE;PERIMETRO;LONGITUD_ETRS89;LATITUD_ETRS89;ALTITUD;HABITANTES;HOMBRES;MUJERES;TOTAL_PARO;H25;H25_44;H45;M25;M25_44;M45;AGRICULTURA;INDUSTRIA;CONSTRUCCION;SERVICIOS;SINEMPLEOANTERIOR;AÑO;EDAD_MEDIA;de0-18;de19-67;masde68;de0-12
01034000000;01320;01;ARABA/ÁLAVA;LEZA;992.2543;14579.0;-2.63459428;42.56469687;569.0;203.0;100.0;103.0;7;1;2;2;0;0;2;5;-1;0;1;1;2017;49.07881773;34;117;52;25
01036000000;01340;01;ARABA/ÁLAVA;LAUDIO/LLODIO;3756.0;27576.0;-2.96256495;43.1425188;123.0;18133.0;8965.0;9168.0;1252;34;228;245;33;354;358;34;162;73;818;165;2017;47.2546738;2690;11409;4034;1788
01037000000;01350;01;ARABA/ÁLAVA;ARRAIA-MAEZTU;12310.7942;59163.0;-2.44663872;42.74000217;658.0;725.0;404.0;321.0;32;0;6;10;0;9;7;1;5;2;21;3;2017;47.17793103;119;442;164;94
01039000000;01360;01;ARABA/ÁLAVA;MOREDA DE ÁLAVA/MOREDA ARABA;867.1106;12022.0;-2.40841718;42.52479167;461.0;230.0;115.0;115.0;14;1;2;5;3;0;3;-1;2;3;7;2;2017;50.7;19;155;56;13
01041000000;01380;01;ARABA/ÁLAVA;NAVARIDAS;891.6398;11775.0;-2.62479544;42.5450594;535.0;226.0;132.0;94.0;3;-1;1;-1;-1;2;-1;2;-1;-1;1;-1;2017;45.65929204;28;159;39;19
01042000000;01390;01;ARABA/ÁLAVA;OKONDO;2979.23;34703.0;-3.0190268229;43.1615512963;135.0;1155.0;600.0;555.0;54;2;7;13;1;14;17;3;8;4;33;6;2017;42.74718615;219;761;175;166
01043000000;01400;01;ARABA/ÁLAVA;OYÓN-OION;4517.7474;42025.0;-2.43775585;42.50626162;433.0;3338.0;1693.0;1645.0;396;22;82;87;26;106;73;97;49;24;151;75;2017;40.23666866;808;2065;465;564
01044000000;01410;01;ARABA/ÁLAVA;PEÑACERRADA-URIZAHARRA;6217.54;42084.0;-2.71402821;42.64417512;752.0;264.0;156.0;108.0;6;0;0;2;-1;3;1;-1;0;1;5;-1;2017;49.62878788;28;181;55;17
01046000000;01430;01;ARABA/ÁLAVA;ERRIBERAGOITIA/RIBERA ALTA;11978.2131;83147.0;-2.91080642;42.80074682;545.0;736.0;420.0;316.0;29;-1;2;6;1;10;10;0;0;1;28;0;2017;45.50815217;132;485;119;93
01047000000;01440;01;ARABA/ÁLAVA;RIBERA BAJA/ERRIBERA BEITIA;2536.0438;30506.0;-2.91704002;42.71339792;483.0;1375.0;748.0;627.0;66;3;9;7;3;29;15;4;8;3;37;14;2017;40.63709091;317;902;156;212
01049000000;01460;01;ARABA/ÁLAVA;AÑANA;2192.3285;21681.0;-2.98601634;42.8012318;574.0;156.0;89.0;67.0;5;0;1;0;-1;2;2;-1;0;1;4;-1;2017;51.83333333;11;106;39;10
