Mes;T;TM;Tm_1;R;H;DR;DN;DT;DF;DH;DD;I;Codigo
Junio;23.4;31.4;15.5;14;52;2.2;0;1.4;0.2;0;10.8;335;06
Julio;26.1;34.8;17.3;4;48;0.5;0;0.9;0.1;0;20;376;06
Agosto;25.9;34.5;17.3;5;49;0.7;0;0.9;0;0;17;342;06
Septiembre;22.9;30.5;15.2;24;56;3.2;0;1.7;0.6;0;9.8;260;06
Octubre;17.8;24.1;11.5;61;68;7;0;1.1;3;0;6.9;206;06
Noviembre;12.7;18.2;7.2;65;76;7.3;0;0.6;6.6;1.1;6.7;155;06
Diciembre;9.7;14.4;4.9;69;82;8.2;0;0.7;8.2;4.9;5.7;114;06
Año;17.1;23.8;10.3;447;64;59.2;0.1;12.9;39.4;18.9;109.1;2860;06
Enero;9.5;15.2;3.8;37;79;5.7;0.1;0.8;6.3;5.1;3.5;163;07
Febrero;9.8;15.4;4;32;77;5.1;0.1;0.8;5.5;3.8;2.9;166;07
Marzo;11.3;17.5;5.2;26;75;4.5;0;0.8;6.9;2.1;3.9;202;07
Abril;13.6;19.8;7.4;34;71;4.8;0;1.3;3.5;0.1;3.8;234;07
Mayo;17.5;23.7;11.3;32;67;3.8;0;1.2;2.2;0;5.4;283;07
Junio;21.7;28.1;15.4;12;63;1.8;0;0.8;0.6;0;9.1;316;07
Julio;24.8;31.2;18.3;5;62;0.5;0;0.7;0.4;0;16.1;342;07
Agosto;25.1;31.3;18.9;17;65;1.7;0;1.8;0.5;0;12.4;315;07
Septiembre;22.2;27.9;16.5;50;71;4.3;0;3.9;1.3;0;5;222;07
Octubre;18.5;23.9;13.1;62;77;6.1;0;2.9;3.1;0;2.6;203;07
Noviembre;13.7;19;8.3;55;79;6.1;0;2.1;3.2;0.3;2.3;162;07
Diciembre;10.8;16.1;5.4;48;79;6.4;0;1.6;5.5;2.5;3.1;152;07
Año;16.5;22.4;10.6;411;72;50.9;0.3;18.6;39.1;15;70.6;2756;07
Enero;9.2;13.6;4.7;37;70;3.7;0.1;0.3;0.4;1.4;7.5;151;08
Febrero;9.9;14.3;5.4;35;70;4;0.2;0.4;1.2;1.2;4.8;163;08
Marzo;11.8;16.1;7.4;36;70;4.5;0.1;0.8;1.7;0.3;5.3;206;08
Abril;13.7;18;9.4;40;69;5.1;0;1.3;1.4;0;4;228;08
